,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
4,Achiras,370.0,Valid,L6,780.0,Observed,1902.0,-33.16667,-64.95,"(-33.166670, -64.950000)"
8,Aguada,398.0,Valid,L6,1620.0,Observed,1930.0,-31.6,-65.23333,"(-31.600000, -65.233330)"
9,Aguila Blanca,417.0,Valid,L,1440.0,Observed,1920.0,-30.86667,-64.55,"(-30.866670, -64.550000)"
36,Angra dos Reis (stone),2302.0,Valid,Angrite,1500.0,Observed,1869.0,-22.96667,-44.31667,"(-22.966670, -44.316670)"
42,Arbol Solo,2325.0,Valid,H5,810.0,Observed,1954.0,-33.0,-66.0,"(-33.000000, -66.000000)"
44,Arroyo Aguiar,2340.0,Valid,H5,7450.0,Observed,1950.0,-31.41667,-60.66667,"(-31.416670, -60.666670)"
57,Avanhandava,4905.0,Valid,H4,9330.0,Observed,1952.0,-21.46028,-49.95083,"(-21.460280, -49.950830)"
96,Berduc,48975.0,Valid,L6,270.0,Observed,2008.0,-31.91,-58.32833,"(-31.910000, -58.328330)"
154,Cali,45976.0,Valid,H/L4,478.0,Observed,2007.0,3.405,-76.51,"(3.405000, -76.510000)"
156,Campos Sales,5249.0,Valid,L5,23680.0,Observed,1991.0,-7.03333,-40.16667,"(-7.033330, -40.166670)"
162,Capilla del Monte,5264.0,Valid,H6,750.0,Observed,1934.0,-30.88333,-64.55,"(-30.883330, -64.550000)"
163,Carancas,45817.0,Valid,H4-5,342.0,Observed,2007.0,-16.66444,-69.04389,"(-16.664440, -69.043890)"
175,Chajari,5316.0,Valid,L5,18300.0,Observed,1933.0,-30.78333,-58.05,"(-30.783330, -58.050000)"
204,Conquista,5418.0,Valid,H4,20350.0,Observed,1965.0,-19.85,-47.55,"(-19.850000, -47.550000)"
219,Daule,51559.0,Valid,L5,6580.0,Observed,2008.0,-1.87089,-79.95756,"(-1.870890, -79.957560)"
234,Distrito Quebracho,7649.0,Valid,H4,400.0,Observed,1957.0,-31.88333,-60.46667,"(-31.883330, -60.466670)"
330,Gualeguaychú,11432.0,Valid,H6,22000.0,Observed,1932.0,-33.0,-58.61667,"(-33.000000, -58.616670)"
358,Heredia,11875.0,Valid,H5,1000.0,Observed,1857.0,10.0,-84.1,"(10.000000, -84.100000)"
376,Ibitira,11993.0,Valid,Eucrite-mmict,2500.0,Observed,1957.0,-20.0,-45.0,"(-20.000000, -45.000000)"
379,Iguaracu,12003.0,Valid,H5,1200.0,Observed,1977.0,-23.2,-51.83333,"(-23.200000, -51.833330)"
385,Ipiranga,12043.0,Valid,H6,7000.0,Observed,1972.0,-25.5,-54.5,"(-25.500000, -54.500000)"
387,Isthilart,12053.0,Valid,H5,3050.0,Observed,1928.0,-31.18333,-57.95,"(-31.183330, -57.950000)"
388,Itapicuru-Mirim,12056.0,Valid,H5,2024.0,Observed,1879.0,-3.4,-44.33333,"(-3.400000, -44.333330)"
497,La Colina,12395.0,Valid,H5,2000.0,Observed,1924.0,-37.33333,-61.53333,"(-37.333330, -61.533330)"
498,La Criolla,12396.0,Valid,L6,45000.0,Observed,1985.0,-31.23333,-58.16667,"(-31.233330, -58.166670)"
550,Mafra,15383.0,Valid,L3-4,600.0,Observed,1941.0,-26.16667,-49.93333,"(-26.166670, -49.933330)"
568,Marilia,15422.0,Valid,H4,2500.0,Observed,1971.0,-22.25,-49.93333,"(-22.250000, -49.933330)"
582,Medanitos,15467.0,Valid,Eucrite-cm,31.0,Observed,1953.0,-27.25,-67.5,"(-27.250000, -67.500000)"
674,Nogoya,16989.0,Valid,CM2,4000.0,Observed,1879.0,-32.36667,-59.83333,"(-32.366670, -59.833330)"
718,Palca de Aparzo,18074.0,Valid,L5,1430.0,Observed,1988.0,-23.11667,-65.1,"(-23.116670, -65.100000)"
725,Parambu,18102.0,Valid,LL5,2000.0,Observed,1967.0,-6.23333,-40.7,"(-6.233330, -40.700000)"
726,Paranaiba,18103.0,Valid,L6,100000.0,Observed,1956.0,-19.13333,-51.66667,"(-19.133330, -51.666670)"
732,Patrimonio,18116.0,Valid,L6,2121.0,Observed,1950.0,-19.53333,-48.56667,"(-19.533330, -48.566670)"
779,Putinga,18905.0,Valid,L6,300000.0,Observed,1937.0,-29.03333,-53.05,"(-29.033330, -53.050000)"
787,Raco,22368.0,Valid,H5,5000.0,Observed,1957.0,-26.66667,-65.45,"(-26.666670, -65.450000)"
805,Renca,22587.0,Valid,L5,300.0,Observed,1925.0,-32.75,-65.28333,"(-32.750000, -65.283330)"
814,Rio Negro,22611.0,Valid,L4,1310.0,Observed,1934.0,-26.1,-49.8,"(-26.100000, -49.800000)"
837,San Pedro de Quiles,23130.0,Valid,L6,282.0,Observed,1956.0,-31.01667,-71.4,"(-31.016670, -71.400000)"
839,Santa Barbara,23161.0,Valid,L4,400.0,Observed,1873.0,-29.2,-51.86667,"(-29.200000, -51.866670)"
841,Santa Isabel,23165.0,Valid,L6,5500.0,Observed,1924.0,-33.9,-61.7,"(-33.900000, -61.700000)"
842,Santa Lucia (2008),50909.0,Valid,L6,4000.0,Observed,2008.0,-31.535556,-68.489444,"(-31.535556, -68.489444)"
843,São Jose do Rio Preto,23171.0,Valid,H4,927.0,Observed,1962.0,-20.81,-49.38056,"(-20.810000, -49.380560)"
864,Sete Lagoas,23504.0,Valid,H4,350.0,Observed,1908.0,-19.46667,-44.21667,"(-19.466670, -44.216670)"
978,Uberaba,24096.0,Valid,H5,40000.0,Observed,1903.0,-19.81667,-48.78333,"(-19.816670, -48.783330)"
994,Uzcudun,24140.0,Valid,L,20000.0,Observed,1948.0,-44.11667,-66.15,"(-44.116670, -66.150000)"
998,Valera,24149.0,Valid,L5,50000.0,Observed,1972.0,9.31667,-70.62833,"(9.316670, -70.628330)"
999,Varre-Sai,53633.0,Valid,L5,2500.0,Observed,2010.0,-20.85001,-41.73356,"(-20.850010, -41.733560)"
1487,Agua Blanca,397.0,Valid,"Iron, IIIAB",49000.0,Found,1938.0,-28.91667,-66.95,"(-28.916670, -66.950000)"
1488,Aguas Calientes,399.0,Valid,H,260.1,Found,1971.0,-25.5,-68.4,"(-25.500000, -68.400000)"
1575,Algarrobo,467.0,Valid,"Iron, IAB-ung",1280.0,Found,1959.0,-27.08333,-70.58333,"(-27.083330, -70.583330)"
4918,Balsas,4932.0,Valid,"Iron, IIIAB",41000.0,Found,1974.0,-7.53133,-46.04117,"(-7.531330, -46.041170)"
4920,Baquedano,4939.0,Valid,"Iron, IIIAB",22000.0,Found,1932.0,-23.3,-69.88333,"(-23.300000, -69.883330)"
4921,Barbacena,4940.0,Valid,"Iron, ungrouped",9026.0,Found,1918.0,-21.21667,-43.93333,"(-21.216670, -43.933330)"
4924,Barranca Blanca,4950.0,Valid,"Iron, IIE-an",12000.0,Found,1855.0,-28.08333,-69.33333,"(-28.083330, -69.333330)"
4948,Baygorria,4980.0,Valid,"Iron, IAB complex",80000.0,Found,1994.0,-33.0,-56.0,"(-33.000000, -56.000000)"
5023,Blanca Estela,45973.0,Valid,"Iron, IAB complex",15600.0,Found,2002.0,-25.0,-69.5,"(-25.000000, -69.500000)"
5050,Bocaiuva,5092.0,Valid,"Iron, ungrouped",64000.0,Found,1965.0,-17.16667,-43.83333,"(-17.166670, -43.833330)"
5134,Cachari,5189.0,Valid,Eucrite-mmict,23500.0,Found,1916.0,-36.4,-59.5,"(-36.400000, -59.500000)"
5135,Cachiyuyal,5190.0,Valid,"Iron, IIIE",2500.0,Found,1874.0,-25.0,-69.5,"(-25.000000, -69.500000)"
5139,Caldera,5196.0,Valid,Eucrite-mmict,500.0,Found,1967.0,-27.05,-70.8,"(-27.050000, -70.800000)"
5141,Caleta el Cobre 001,54446.0,Valid,H6,9.0,Found,2010.0,-24.266,-70.03333,"(-24.266000, -70.033330)"
5142,Caleta el Cobre 002,54620.0,Valid,H6,18.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5143,Caleta el Cobre 003,54621.0,Valid,H5,338.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5144,Caleta el Cobre 004,54622.0,Valid,H5,254.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5145,Caleta el Cobre 005,54623.0,Valid,H5,193.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5146,Caleta el Cobre 006,54624.0,Valid,L6,179.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5147,Caleta el Cobre 007,54625.0,Valid,L6,24.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5148,Caleta el Cobre 008,54626.0,Valid,H6,15.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5149,Caleta el Cobre 009,54627.0,Valid,L4,95.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5150,Caleta el Cobre 010,54628.0,Valid,L4,47.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5151,Caleta el Cobre 011,54629.0,Valid,L6,32.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5152,Caleta el Cobre 012,54630.0,Valid,L4,17.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5153,Caleta el Cobre 013,54631.0,Valid,L4,105.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5154,Caleta el Cobre 014,54632.0,Valid,H4,20.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5155,Caleta el Cobre 015,54633.0,Valid,L6,115.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5156,Caleta el Cobre 016,54634.0,Valid,H5,34.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5157,Caleta el Cobre 017,54635.0,Valid,H5,41.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5158,Caleta el Cobre 018,54829.0,Valid,H5,6.0,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5159,Caleta el Cobre 019,54830.0,Valid,H6,1.1,Found,2010.0,-24.25,-70.51667,"(-24.250000, -70.516670)"
5218,Campinorte,52093.0,Valid,"Iron, ungrouped",2000000.0,Found,1992.0,-14.258,-49.15917,"(-14.258000, -49.159170)"
5219,Campo de Pucara (iron),5246.0,Valid,Iron,41.0,Found,1879.0,-27.66667,-67.11667,"(-27.666670, -67.116670)"
5220,Campo del Cielo,5247.0,Valid,"Iron, IAB-MG",50000000.0,Found,1575.0,-27.46667,-60.58333,"(-27.466670, -60.583330)"
5228,Caperr,5263.0,Valid,"Iron, IIIAB",113900.0,Found,1869.0,-45.28333,-70.48333,"(-45.283330, -70.483330)"
5231,Carcote,5267.0,Valid,H5,392.0,Found,1888.0,-24.0,-69.0,"(-24.000000, -69.000000)"
5250,Casilda,5288.0,Valid,H5,5250.0,Found,1937.0,-33.1,-61.13333,"(-33.100000, -61.133330)"
5251,Casimiro de Abreu,5289.0,Valid,"Iron, IIIAB",25000.0,Found,1947.0,-22.46667,-42.21667,"(-22.466670, -42.216670)"
5255,Catalina 002,55756.0,Valid,LL3,61.1,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5256,Catalina 003,56101.0,Valid,"Iron, IVB",3180.0,Found,1999.0,-25.20467,-69.82858,"(-25.204670, -69.828580)"
5257,Catalina 004,56279.0,Valid,Mesosiderite,37.5,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5258,Catalina 005,56671.0,Valid,H4,228.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5259,Catalina 006,56672.0,Valid,H5/6,19.5,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5260,Catalina 007,56673.0,Valid,H4,11.9,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5261,Catalina 008,57172.0,Valid,CO3,98.0,Found,2011.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5262,Catalina 009,57173.0,Valid,CR2,5.2,Found,2012.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5263,Catalina 010,57176.0,Valid,L~5,329.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5264,Catalina 011,57177.0,Valid,H~5,573.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5265,Catalina 012,57178.0,Valid,H6,225.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5266,Catalina 013,57179.0,Valid,H4,428.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5267,Catalina 014,57180.0,Valid,H4,191.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5268,Catalina 015,57181.0,Valid,L5,239.0,Found,2009.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5269,Catalina 016,57182.0,Valid,H4,647.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5270,Catalina 017,57183.0,Valid,H5,426.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5271,Catalina 018,57184.0,Valid,L6,1018.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5272,Catalina 019,57185.0,Valid,H4,3191.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5273,Catalina 020,57186.0,Valid,L6,2084.0,Found,2010.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5274,Catalina 023,57291.0,Valid,H~6,53.5,Found,2009.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
5275,Catalina 024,57292.0,Valid,H4,312.0,Found,2009.0,-25.23333,-69.71667,"(-25.233330, -69.716670)"
